,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
210,tamil-nadu,2018,3,Peer-to-peer payments,8810836,26792462660.044968
211,tamil-nadu,2018,3,Recharge & bill payments,5148411,1521551955.205038
212,tamil-nadu,2018,3,Merchant payments,1290978,733189649.5729834
213,tamil-nadu,2018,3,Financial Services,191732,37049222.36590697
214,tamil-nadu,2018,3,Others,332121,245838753.995272
215,tamil-nadu,2018,4,Peer-to-peer payments,11538547,39180083690.57276
216,tamil-nadu,2018,4,Recharge & bill payments,7093764,2020329567.8245385
217,tamil-nadu,2018,4,Merchant payments,3145621,1742903221.432857
218,tamil-nadu,2018,4,Financial Services,228398,46571758.68242933
219,tamil-nadu,2018,4,Others,451114,312185737.38152075
220,lakshadweep,2022,1,Peer-to-peer payments,7913,48590864.56835763
221,lakshadweep,2022,1,Recharge & bill payments,5334,2322580.1695599537
222,lakshadweep,2022,1,Merchant payments,3048,3838358.3586293925
223,lakshadweep,2022,1,Financial Services,39,38274.22628876488
224,lakshadweep,2022,1,Others,63,149355.3310943247
225,lakshadweep,2022,2,Peer-to-peer payments,8491,48451728.04746901
226,lakshadweep,2022,2,Recharge & bill payments,5366,2386144.714677198
227,lakshadweep,2022,2,Merchant payments,3602,4895657.060086848
228,lakshadweep,2022,2,Financial Services,59,87127.8249489804
229,lakshadweep,2022,2,Others,51,108944.34272364664
230,lakshadweep,2022,3,Peer-to-peer payments,7533,40029003.82575238
231,lakshadweep,2022,3,Recharge & bill payments,4441,1936538.3067545425
232,lakshadweep,2022,3,Merchant payments,3142,5469200.646094429
233,lakshadweep,2022,3,Financial Services,64,63629.88416689246
234,lakshadweep,2022,3,Others,61,81636.9547320153
235,lakshadweep,2022,4,Peer-to-peer payments,8686,47450386.0033243
236,lakshadweep,2022,4,Recharge & bill payments,4557,2024739.1542023947
237,lakshadweep,2022,4,Merchant payments,3819,5250991.002376802
238,lakshadweep,2022,4,Financial Services,35,26453.0247779254
239,lakshadweep,2022,4,Others,50,61304.43025482374
240,lakshadweep,2023,1,Peer-to-peer payments,14918,73202195.0
241,lakshadweep,2023,1,Recharge & bill payments,8287,3929048.0
242,lakshadweep,2023,1,Merchant payments,6123,7988014.0
243,lakshadweep,2023,1,Financial Services,153,160430.0
244,lakshadweep,2023,1,Others,39,42274.0
245,lakshadweep,2023,2,Peer-to-peer payments,16924,80630344.0
246,lakshadweep,2023,2,Merchant payments,9524,12585603.0
247,lakshadweep,2023,2,Recharge & bill payments,8287,4632264.0
248,lakshadweep,2023,2,Financial Services,105,52460.0
249,lakshadweep,2023,2,Others,78,86767.0
250,lakshadweep,2019,1,Peer-to-peer payments,1183,8221402.368536929
251,lakshadweep,2019,1,Recharge & bill payments,1173,353870.52398354514
252,lakshadweep,2019,1,Merchant payments,113,183062.1455975621
253,lakshadweep,2019,1,Others,12,27795.441220958
254,lakshadweep,2019,2,Recharge & bill payments,1448,436735.1684614296
255,lakshadweep,2019,2,Peer-to-peer payments,1318,8602732.117788196
256,lakshadweep,2019,2,Merchant payments,137,190716.5411561734
257,lakshadweep,2019,2,Others,23,12340.30958308919
258,lakshadweep,2019,3,Recharge & bill payments,1528,503049.2411913635
259,lakshadweep,2019,3,Peer-to-peer payments,1455,8923273.862948446
260,lakshadweep,2019,3,Merchant payments,111,215159.68119447335
261,lakshadweep,2019,3,Others,10,10278.678434187355
262,lakshadweep,2019,4,Recharge & bill payments,1801,618155.9004644766
263,lakshadweep,2019,4,Peer-to-peer payments,1753,10383413.246670496
264,lakshadweep,2019,4,Merchant payments,188,211413.62244321496
265,lakshadweep,2019,4,Financial Services,2,34.39721181625656
266,lakshadweep,2019,4,Others,21,56896.23813384895
267,lakshadweep,2021,1,Peer-to-peer payments,3942,24823715.017422147
268,lakshadweep,2021,1,Recharge & bill payments,3541,1070209.4218526704
269,lakshadweep,2021,1,Merchant payments,1537,1040213.7953898906
270,lakshadweep,2021,1,Financial Services,19,15929.095105497145
271,lakshadweep,2021,1,Others,46,92715.5843109472
272,lakshadweep,2021,2,Recharge & bill payments,5499,1745295.828077295
273,lakshadweep,2021,2,Peer-to-peer payments,4069,23996417.49366483
274,lakshadweep,2021,2,Merchant payments,1743,1525331.9146529401
275,lakshadweep,2021,2,Financial Services,29,15052.018496008179
276,lakshadweep,2021,2,Others,44,101366.40306045809
277,lakshadweep,2021,3,Peer-to-peer payments,5687,34142107.520169854
278,lakshadweep,2021,3,Recharge & bill payments,5153,1700287.4734963956
279,lakshadweep,2021,3,Merchant payments,2450,2750367.063028222
280,lakshadweep,2021,3,Financial Services,48,137227.35390598275
281,lakshadweep,2021,3,Others,32,73174.28816768769
282,lakshadweep,2021,4,Peer-to-peer payments,7154,44696668.86120765
283,lakshadweep,2021,4,Recharge & bill payments,5355,2093901.2918026838
284,lakshadweep,2021,4,Merchant payments,2872,4071239.087436496
285,lakshadweep,2021,4,Financial Services,27,19994.541946360278
286,lakshadweep,2021,4,Others,62,116381.74598782149
287,lakshadweep,2020,1,Recharge & bill payments,2684,789255.2646123999
288,lakshadweep,2020,1,Peer-to-peer payments,2068,12463327.261836832
289,lakshadweep,2020,1,Merchant payments,387,216594.03077193064
290,lakshadweep,2020,1,Others,12,33192.017283045374
291,lakshadweep,2020,2,Recharge & bill payments,4497,1061694.138574572
292,lakshadweep,2020,2,Peer-to-peer payments,2176,14718605.188911092
293,lakshadweep,2020,2,Merchant payments,472,971609.4583537823
294,lakshadweep,2020,2,Financial Services,60,158593.59701229632
295,lakshadweep,2020,2,Others,15,32419.703092655054
296,lakshadweep,2020,3,Recharge & bill payments,4696,1186947.553816269
297,lakshadweep,2020,3,Peer-to-peer payments,2946,19189391.618742835
298,lakshadweep,2020,3,Merchant payments,903,842981.169451366
299,lakshadweep,2020,3,Financial Services,27,45457.50970027798
300,lakshadweep,2020,3,Others,17,42055.45694608544
301,lakshadweep,2020,4,Recharge & bill payments,5187,1499298.1127799235
302,lakshadweep,2020,4,Peer-to-peer payments,4741,27284123.245665
303,lakshadweep,2020,4,Merchant payments,1668,1227101.6378793938
304,lakshadweep,2020,4,Financial Services,22,13968.7539965527
305,lakshadweep,2020,4,Others,32,86826.16675951776
306,lakshadweep,2018,1,Peer-to-peer payments,423,1860278.2784597143
307,lakshadweep,2018,1,Recharge & bill payments,342,61432.04938505074
308,lakshadweep,2018,1,Merchant payments,5,590.7505138175776
309,lakshadweep,2018,1,Others,8,6310.102519157715
310,lakshadweep,2018,2,Peer-to-peer payments,1315,5757123.079919379
311,lakshadweep,2018,2,Recharge & bill payments,750,353202.7988510042
312,lakshadweep,2018,2,Merchant payments,42,64568.47789279556
313,lakshadweep,2018,2,Financial Services,6,9134.413223158994
314,lakshadweep,2018,2,Others,19,3780.7695141997474
315,lakshadweep,2018,3,Peer-to-peer payments,841,3926048.74488305
316,lakshadweep,2018,3,Recharge & bill payments,760,300978.32420203416
317,lakshadweep,2018,3,Merchant payments,87,94046.43333034206
318,lakshadweep,2018,3,Others,15,17958.809570422687
319,lakshadweep,2018,4,Recharge & bill payments,792,351201.0879000404
320,lakshadweep,2018,4,Peer-to-peer payments,689,3841230.430870924
321,lakshadweep,2018,4,Merchant payments,144,262079.85573632165
322,lakshadweep,2018,4,Financial Services,6,389.8932323919954
323,lakshadweep,2018,4,Others,11,8312.430483153179
324,telangana,2022,1,Merchant payments,449186799,243841863780.6793
325,telangana,2022,1,Peer-to-peer payments,368048408,1375289566667.7056
326,telangana,2022,1,Recharge & bill payments,66352138,50470450179.88254
327,telangana,2022,1,Financial Services,284035,394283511.9410973
328,telangana,2022,1,Others,2582005,642005688.7661512
329,telangana,2022,2,Merchant payments,565370506,307468406704.909
330,telangana,2022,2,Peer-to-peer payments,422056582,1580014085694.835
331,telangana,2022,2,Recharge & bill payments,75099130,63136761649.3931
332,telangana,2022,2,Financial Services,245023,324857780.5553103
333,telangana,2022,2,Others,611316,470432687.3850265
334,telangana,2022,3,Merchant payments,880414292,447150646953.73706
335,telangana,2022,3,Peer-to-peer payments,626830752,2170173323588.53
336,telangana,2022,3,Recharge & bill payments,119779835,87937210666.27194
337,telangana,2022,3,Financial Services,340458,442783619.09123904
338,telangana,2022,3,Others,800064,621900924.4423015
339,telangana,2022,4,Merchant payments,1002521735,491556008133.53546
340,telangana,2022,4,Peer-to-peer payments,694612831,2393380395296.8516
341,telangana,2022,4,Recharge & bill payments,121188131,92136759501.42021
342,telangana,2022,4,Financial Services,401838,498719426.0054372
343,telangana,2022,4,Others,782297,680680558.3343163
344,telangana,2023,1,Merchant payments,830385203,369961744486.0
345,telangana,2023,1,Peer-to-peer payments,522865792,1898813645344.0
346,telangana,2023,1,Recharge & bill payments,86187673,102787343319.0
347,telangana,2023,1,Financial Services,326874,458821191.0
348,telangana,2023,1,Others,565916,560179944.0
349,telangana,2023,2,Merchant payments,977182965,429169888297.0
350,telangana,2023,2,Peer-to-peer payments,593322476,2155918289810.0
351,telangana,2023,2,Recharge & bill payments,94107914,112036624317.0
352,telangana,2023,2,Financial Services,354045,517795343.0
353,telangana,2023,2,Others,463571,507337241.0
354,telangana,2019,1,Peer-to-peer payments,40488967,87361237975.49301
355,telangana,2019,1,Merchant payments,12341901,4144368545.535969
356,telangana,2019,1,Recharge & bill payments,11525394,3619117615.485172
357,telangana,2019,1,Financial Services,463688,54547989.275453925
358,telangana,2019,1,Others,470752,343989909.8750894
359,telangana,2019,2,Peer-to-peer payments,46741594,141095702899.16147
360,telangana,2019,2,Merchant payments,25682382,8442740781.469844
361,telangana,2019,2,Recharge & bill payments,16225017,5603477828.5489645
362,telangana,2019,2,Financial Services,252173,43627344.86329399
363,telangana,2019,2,Others,709213,490894328.3915366
364,telangana,2019,3,Peer-to-peer payments,59981113,180342868388.36203
365,telangana,2019,3,Merchant payments,44035953,14308557740.55424
366,telangana,2019,3,Recharge & bill payments,16437222,6793699069.387364
367,telangana,2019,3,Financial Services,183163,39617186.74048498
368,telangana,2019,3,Others,857925,445278745.3818412
369,telangana,2019,4,Peer-to-peer payments,82587060,249346680995.99316
370,telangana,2019,4,Merchant payments,59347809,21510626607.08445
371,telangana,2019,4,Recharge & bill payments,20797056,9561315124.602655
372,telangana,2019,4,Financial Services,137291,33453857.404595934
373,telangana,2019,4,Others,703042,294688962.659046
374,telangana,2021,1,Merchant payments,185230619,95927278280.53006
375,telangana,2021,1,Peer-to-peer payments,179738195,676276353116.8419
376,telangana,2021,1,Recharge & bill payments,46371555,26447601338.53346
377,telangana,2021,1,Financial Services,262473,320153410.17969453
378,telangana,2021,1,Others,969268,387877900.5044867
379,telangana,2021,2,Peer-to-peer payments,230861833,872151973637.885
380,telangana,2021,2,Merchant payments,205232899,123207789311.2962
381,telangana,2021,2,Recharge & bill payments,58637866,31877277168.343227
382,telangana,2021,2,Financial Services,278546,300569264.1443888
383,telangana,2021,2,Others,856400,420723415.91505665
384,telangana,2021,3,Merchant payments,286735350,159227310549.39368
385,telangana,2021,3,Peer-to-peer payments,271436926,981754679241.0405
386,telangana,2021,3,Recharge & bill payments,62744121,36434881136.01624
387,telangana,2021,3,Financial Services,235519,329138539.4612142
388,telangana,2021,3,Others,1734852,543116826.3422191
389,telangana,2021,4,Merchant payments,376584215,212974766412.01556
390,telangana,2021,4,Peer-to-peer payments,331774591,1204991223519.016
391,telangana,2021,4,Recharge & bill payments,66477036,44760398983.30789
392,telangana,2021,4,Financial Services,298871,392141743.6705663
393,telangana,2021,4,Others,855060,639658842.8998816
394,telangana,2020,1,Peer-to-peer payments,95668911,327641798044.80554
395,telangana,2020,1,Merchant payments,76818285,31076431477.91269
396,telangana,2020,1,Recharge & bill payments,26324268,12324266104.564993
397,telangana,2020,1,Financial Services,88184,59500639.38684589
398,telangana,2020,1,Others,509877,241784101.54604858
399,telangana,2020,2,Peer-to-peer payments,76683293,279478553909.7438
400,telangana,2020,2,Merchant payments,44181999,26712043204.891262
401,telangana,2020,2,Recharge & bill payments,30885875,15106945863.857046
402,telangana,2020,2,Financial Services,116776,134169906.74750492
403,telangana,2020,2,Others,187200,100126467.191328
404,telangana,2020,3,Peer-to-peer payments,116668399,437459188905.0534
405,telangana,2020,3,Merchant payments,86836471,49743225885.179474
406,telangana,2020,3,Recharge & bill payments,32352860,18378477087.576897
